N_ait [m^-3],R_ait [m],GSD_ait [unitless],N_acc [m^-3],R_acc [m],GSD_acc [unitless],N_coa [m^-3],R_coa [m],GSD_coa [unitless],N_mcb [m^-3],R_mcb [m],GSD_mcb [unitless],temperature [K],pressure [Pa],updraft [m s^-1],ait_maf [unitless],acc_maf [unitless],coa_maf [unitless],mcb_maf [unitless],Nact [m^-3],Smax [%%],runtime_seconds [s]
302520000.0,0.048159,1.59,666750000.0,0.11101,1.4,1410600.0,0.27524,2.0,951660000.0,0.030153,1.6101,257.38,71375.0,0.34571,0.10695,0.92035,0.91558,1.0,764200000.0,0.12052,0.79029
1202000000.0,0.015207,1.59,635810000.0,0.10622,1.4,5870900.0,0.50578,2.0,139500000.0,0.044121,1.8439,286.25,66238.0,0.12311,0.41924,0.11392,0.92724,1.0,227210000.0,0.09229,1.038
1959000000.0,0.012344,1.59,589590000.0,0.10512,1.4,4666500.0,0.44592,2.0,1389000000.0,0.12173,1.7805,246.38,96145.0,0.89576,0.62738,0.17581,0.91379,1.0,1548000000.0,0.12236,1.404
245560000.0,0.044281,1.59,931000000.0,0.11152,1.4,5430300.0,0.29681,2.0,742970000.0,0.033956,1.4289,253.7,91383.0,0.71473,0.056607,0.97248,0.93034,1.0,1231800000.0,0.20248,0.5662
310480000.0,0.044833,1.59,191170000.0,0.096428,1.4,2987800.0,0.65462,2.0,647060000.0,0.14478,1.2802,260.17,87731.0,0.92398,0.88985,0.70533,0.92195,1.0,952420000.0,0.16376,0.5194
1519100000.0,0.038998,1.59,1191700000.0,0.066243,1.4,3710200.0,0.36433,2.0,121290000.0,0.030333,1.5126,256.54,98349.0,0.12005,0.23143,0.062832,0.91616,1.0,480390000.0,0.23811,1.2218
42989000.0,0.033955,1.59,1193300000.0,0.11379,1.4,3264800.0,0.89865,2.0,1941000000.0,0.012265,1.8636,267.04,63643.0,0.19906,0.55422,0.82207,0.94481,1.0,668350000.0,0.052582,3.0263
1257200000.0,0.047463,1.59,842120000.0,0.096811,1.4,99243.0,0.77518,2.0,1309500000.0,0.047179,1.59,296.77,69155.0,0.42829,0.62218,0.97015,0.92588,1.0,1048800000.0,0.068794,0.65377
1489700000.0,0.036654,1.59,938780000.0,0.066592,1.4,5469000.0,0.51557,2.0,849150000.0,0.037414,1.2837,255.61,64086.0,0.80549,0.30191,0.37438,0.98456,1.0,1956200000.0,0.29888,0.44254
11657000.0,0.011861,1.59,606740000.0,0.11503,1.4,3220800.0,0.91854,2.0,1011700000.0,0.13022,1.807,271.76,96108.0,1.0845,0.83964,0.75961,0.92092,1.0,1470000000.0,0.093363,0.5979
1768800000.0,0.034002,1.59,511400000.0,0.12175,1.4,4317900.0,0.20125,2.0,1743200000.0,0.1047,1.7623,269.82,92104.0,0.59691,0.59284,0.77965,0.95628,1.0,1486400000.0,0.055346,2.4705
1250200000.0,0.041707,1.59,929720000.0,0.068924,1.4,1356500.0,0.4487,2.0,739460000.0,0.10362,1.5925,284.42,70480.0,1.0324,0.17347,0.9652,0.9737,1.0,1364400000.0,0.11128,0.41285
1235400000.0,0.021087,1.59,948930000.0,0.10233,1.4,637280.0,0.17681,2.0,171400000.0,0.14314,1.4931,255.1,76841.0,0.34244,0.061792,0.52628,0.95222,1.0,904000000.0,0.11035,1.2049
1493100000.0,0.013995,1.59,740100000.0,0.12023,1.4,5568300.0,0.22,2.0,1017700000.0,0.13899,1.7481,251.38,99003.0,0.93992,0.84087,0.43627,0.95526,1.0,1617500000.0,0.11767,1.3235
207670000.0,0.032903,1.59,130650000.0,0.12417,1.4,1513100.0,0.69084,2.0,1359600000.0,0.14638,1.704,247.15,87009.0,0.37835,0.34391,0.099263,0.97954,1.0,830410000.0,0.052356,195.72
1845700000.0,0.039996,1.59,708860000.0,0.066999,1.4,5670700.0,0.58028,2.0,753060000.0,0.14701,1.5554,273.75,56012.0,0.9949,0.53966,0.17308,0.92116,1.0,799670000.0,0.075348,1.5248
1386400000.0,0.013346,1.59,415170000.0,0.096032,1.4,2393900.0,0.5722,2.0,482690000.0,0.073268,1.5305,243.25,80428.0,0.0099562,0.8679,0.67193,0.99327,1.0,64200000.0,0.033576,134.36
539480000.0,0.018425,1.59,1155700000.0,0.097779,1.4,5630700.0,0.6228,2.0,1116600000.0,0.099143,1.3262,290.33,58912.0,0.99364,0.26073,0.62727,0.95591,1.0,1745200000.0,0.070786,0.62203
527630000.0,0.028554,1.59,851900000.0,0.10148,1.4,5380500.0,0.85436,2.0,1036100000.0,0.056188,1.3255,245.14,81892.0,1.0338,0.87786,0.934,0.99861,1.0,1991400000.0,0.26514,0.5055
1132600000.0,0.044944,1.59,981340000.0,0.084349,1.4,1178500.0,0.24969,2.0,1874200000.0,0.062801,1.7486,255.63,52490.0,0.22632,0.64802,0.5856,0.99806,1.0,720550000.0,0.057704,4.9015
1576400000.0,0.04446,1.59,1014200000.0,0.067512,1.4,2525000.0,0.18674,2.0,1791800000.0,0.049971,1.8546,294.23,101780.0,1.0429,0.44944,0.34481,0.94582,1.0,2109600000.0,0.1463,0.37633
574930000.0,0.02201,1.59,1506900000.0,0.082336,1.4,3329000.0,0.75038,2.0,248550000.0,0.14902,1.3863,257.47,69647.0,0.58112,0.56685,0.29207,0.93636,1.0,1131400000.0,0.15082,0.66026
774130000.0,0.021453,1.59,338170000.0,0.092976,1.4,2226800.0,0.59109,2.0,1836400000.0,0.076084,1.6418,247.79,65258.0,0.84897,0.081075,0.82003,0.98526,1.0,1775400000.0,0.13671,0.78973
